container_id,field,stub_name,kind,key,rtype,value,expression,line_no,time,extra
5317410720,type,__AS__,DICT_ITEM,5317119712,"str, str",VIDEO,5317452224[type] = VIDEO,83,55,
4562293008,list,__FC__,FUNCTION_CALL,5317120096,list,5317521728,list,83,56,<listcomp>@132
5318114464,_value_,__AS__,DICT_ITEM,5317362304,"str, int",0,5317981888[_value_] = 0,83,56,
5318114464,_name_,__AS__,DICT_ITEM,5317375696,"str, str",TEXT,5317981888[_name_] = TEXT,83,56,
5318114464,__objclass__,__AS__,DICT_ITEM,5317376512,"str, EnumMeta",4562338320,5317981888[__objclass__] = 4562338320,83,56,
5318110432,_value_,__AS__,DICT_ITEM,5317123840,"str, int",1,5317979392[_value_] = 1,83,56,
5318110432,_name_,__AS__,DICT_ITEM,5317124560,"str, str",IMAGE,5317979392[_name_] = IMAGE,83,56,
5318110432,__objclass__,__AS__,DICT_ITEM,5317125952,"str, EnumMeta",4562338320,5317979392[__objclass__] = 4562338320,83,56,
5318109232,_value_,__AS__,DICT_ITEM,5317123936,"str, int",2,5317981120[_value_] = 2,83,56,
5318109232,_name_,__AS__,DICT_ITEM,5317120624,"str, str",AUDIO,5317981120[_name_] = AUDIO,83,56,
5318109232,__objclass__,__AS__,DICT_ITEM,5317119376,"str, EnumMeta",4562338320,5317981120[__objclass__] = 4562338320,83,56,
5318108656,_value_,__AS__,DICT_ITEM,5317375600,"str, int",3,5317981952[_value_] = 3,83,56,
5318108656,_name_,__AS__,DICT_ITEM,5317400016,"str, str",VIDEO,5317981952[_name_] = VIDEO,83,56,
5318108656,__objclass__,__AS__,DICT_ITEM,5317410480,"str, EnumMeta",4562338320,5317981952[__objclass__] = 4562338320,83,56,
5317521728,0,__AS__,LIST_ITEM,5317377904,Type,5318114464,<class 'list'>[0],83,56,
5317521728,1,__AS__,LIST_ITEM,5317402416,Type,5318110432,<class 'list'>[1],83,56,
5317521728,2,__AS__,LIST_ITEM,5317130608,Type,5318109232,<class 'list'>[2],83,56,
5317521728,3,__AS__,LIST_ITEM,5317397904,Type,5318108656,<class 'list'>[3],83,56,
5313230496,__init__,__DEF__,VAR,5317123792,function,__init__,__init__,15,57,
1337,self,__PIS__,VAR,5317129024,Job,5317406592,self,15,58,
5313230496,self,__AS__,VAR,5317123744,Job,5317406592,self,15,59,
5313230496,id,__AS__,VAR,5317118800,int,2,id,15,59,
5313230496,_type,__AS__,VAR,5317118608,Type,5318108656,_type,15,59,
5317406592,id,__AS__,OBJ_ITEM,5317126672,int,2,self.id,16,60,
5317406592,type,__AS__,OBJ_ITEM,5317392128,str,VIDEO,self.type,17,61,
5313230496,__init__,__UNDEF__,VAR,5317389392,function,__init__,__init__,17,62,
4562293008,Job,__FC__,FUNCTION_CALL,5317132144,Job,5317406592,Job,83,63,<listcomp>@132
5317406592,id,__AS__,DICT_ITEM,5317377760,"str, int",2,5317591872[id] = 2,83,63,
5317406592,type,__AS__,DICT_ITEM,5317409904,"str, str",VIDEO,5317591872[type] = VIDEO,83,63,
4562293008,list,__FC__,FUNCTION_CALL,5317129216,list,5317771776,list,83,64,<listcomp>@132
5318114464,_value_,__AS__,DICT_ITEM,5317121536,"str, int",0,5317981888[_value_] = 0,83,64,
5318114464,_name_,__AS__,DICT_ITEM,5317128256,"str, str",TEXT,5317981888[_name_] = TEXT,83,64,
5318114464,__objclass__,__AS__,DICT_ITEM,5317127536,"str, EnumMeta",4562338320,5317981888[__objclass__] = 4562338320,83,64,
5318110432,_value_,__AS__,DICT_ITEM,5317391072,"str, int",1,5317979392[_value_] = 1,83,64,
